"","CT2","CT3","CT4","CT5","CT6","CT7","CT8","CT9","CT10","CT11","CT12","CT13","CT14","CT15","RF2","RF3","RF4","RF5","RF6","RF7","RF8","RF9","RF10","RF11","RF12","RF13","RF14","RF15","seed"
"35",0,0,0.005,0.0083333333333333,0.00666666666666671,0.0083333333333333,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.005,0.0033333333333333,0.0033333333333333,0.01,NA,NA,NA,NA,NA,NA,NA,NA,35
"36",0.0083333333333333,0.00166666666666671,0.005,0.0033333333333333,0.0133333333333333,0.015,0.0166666666666667,0.0133333333333333,0.0166666666666667,NA,NA,NA,NA,NA,0.0083333333333333,0.00166666666666671,0.0033333333333333,0.0033333333333333,0.0133333333333333,0.0083333333333333,0.0083333333333333,0.0116666666666667,0.0116666666666667,NA,NA,NA,NA,NA,36
"37",0,0.0033333333333333,0.00166666666666671,0.00666666666666671,0.0033333333333333,0.0166666666666667,0.0166666666666667,0.0133333333333333,0.01,NA,0.025,NA,0.0233333333333333,NA,0,0.0033333333333333,0.00166666666666671,0.0083333333333333,0.00166666666666671,0.005,0.00166666666666671,0.00666666666666671,0.00666666666666671,NA,0.02,NA,0.0216666666666666,NA,37
"38",0,0.0083333333333333,0,0.0083333333333333,0.0033333333333333,0.0083333333333333,0.0183333333333333,0.025,0.0183333333333333,0.025,NA,NA,0.0333333333333333,NA,0,0.0133333333333333,0,0.01,0.0033333333333333,0.0083333333333333,0.0183333333333333,0.0183333333333333,0.01,0.0166666666666667,NA,NA,0.0283333333333333,NA,38
"39",0.0033333333333333,0,0,0.025,0.0116666666666667,0.0183333333333333,0.0166666666666667,0.00666666666666671,NA,NA,0.0133333333333333,NA,NA,NA,0.0033333333333333,0,0,0.0116666666666667,0.0033333333333333,0.0083333333333333,0.0083333333333333,0.00166666666666671,NA,NA,0.01,NA,NA,NA,39
"40",0.005,0,0,0.0166666666666667,0.0116666666666667,0.01,0.0133333333333333,0.0366666666666666,NA,0.0166666666666667,NA,NA,NA,NA,0.005,0,0,0.005,0.01,0.00666666666666671,0.015,0.03,NA,0.0133333333333333,NA,NA,NA,NA,40
"41",0,0,0,0.0083333333333333,0.0033333333333333,0.01,0.02,0.0116666666666667,0.0166666666666667,0.015,0.015,0.02,0.0366666666666666,NA,0,0,0,0.0083333333333333,0.0033333333333333,0.0033333333333333,0.01,0.005,0.0116666666666667,0.01,0.0133333333333333,0.0183333333333333,0.0183333333333333,NA,41
"42",0.00166666666666671,0,0.00166666666666671,0.0033333333333333,0.0083333333333333,0.005,0.01,0.0233333333333333,0.0116666666666667,0.005,0.0183333333333333,0.0283333333333333,0.0283333333333333,0.0383333333333333,0.00166666666666671,0,0.00166666666666671,0.0033333333333333,0.0083333333333333,0.005,0.01,0.0083333333333333,0.005,0.005,0.0183333333333333,0.015,0.0233333333333333,0.0333333333333333,42
"43",0,0.00166666666666671,0,0.0033333333333333,0.00166666666666671,0.0033333333333333,0.00666666666666671,0.015,0.015,0.0083333333333333,0.0183333333333333,0.0366666666666666,0.0333333333333333,0.0266666666666666,0,0.00166666666666671,0.00166666666666671,0.0033333333333333,0,0.005,0.0033333333333333,0.005,0.015,0.00666666666666671,0.005,0.015,0.0183333333333333,0.02,43
"44",0,0.00166666666666671,0.0033333333333333,0.0183333333333333,NA,0.0116666666666667,0.0166666666666667,0.0216666666666666,NA,NA,NA,NA,NA,NA,0,0.00166666666666671,0.0033333333333333,0.015,NA,0.0083333333333333,0.0116666666666667,0.0166666666666667,NA,NA,NA,NA,NA,NA,44
"45",0.00166666666666671,0.005,0.00166666666666671,0.00166666666666671,0.0133333333333333,0.0116666666666667,0.01,0.0083333333333333,0.02,0.02,0.0233333333333333,0.0333333333333333,0.0183333333333333,0.0283333333333333,0.00166666666666671,0.005,0.00166666666666671,0,0.00666666666666671,0.00666666666666671,0.0033333333333333,0.01,0.005,0.01,0.00666666666666671,0.0316666666666666,0.0133333333333333,0.0166666666666667,45
"46",0,0,0.005,0.00166666666666671,0.005,NA,0.01,NA,0.01,NA,NA,NA,NA,NA,0.005,0,0.005,0.0033333333333333,0,NA,0.0083333333333333,NA,0.0133333333333333,NA,NA,NA,NA,NA,46
"47",0,0.0033333333333333,0,0.00166666666666671,0,0.005,0.0033333333333333,0.00666666666666671,0.0033333333333333,0.0133333333333333,0.0233333333333333,NA,NA,NA,0,0.00166666666666671,0,0.00166666666666671,0,0.005,0.00166666666666671,0.00666666666666671,0.005,0.0116666666666667,0.025,NA,NA,NA,47
"48",0.00166666666666671,0,0.0033333333333333,0.00166666666666671,0.0033333333333333,0.015,0.0216666666666666,0.0116666666666667,0.03,0.0166666666666667,0.0333333333333333,0.0266666666666666,0.025,0.03,0.00166666666666671,0,0.005,0.00166666666666671,0.00166666666666671,0.01,0.01,0.0033333333333333,0.0166666666666667,0.01,0.0133333333333333,0.01,0.01,0.025,48
